loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,addr_state,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,earliest_cr_line,issue_d,application_type,mort_acc,pub_rec_bankruptcies,loan_status
4480,36 months,4.24,5.71,A,A1,8,MORTGAGE,29059.24,Source Verified,credit_card,WA,17.43,0,2,29,0,16814,62.3,37,2009-12,2019-06,Individual,2,0,0
31184,60 months,16.42,73.34,C,C3,8,RENT,24966.19,Verified,debt_consolidation,WA,18.45,0,3,12,0,49691,63.1,17,2017-12,2019-05,Individual,2,0,1
26528,36 months,15.55,130.31,D,D3,0,RENT,43140.53,Source Verified,major_purchase,NC,23.98,0,1,15,0,62986,48.1,22,2010-09,2018-09,Individual,2,0,0
18116,36 months,11.75,65.25,C,C4,3,MORTGAGE,95611.88,Source Verified,debt_consolidation,MA,9.28,0,2,8,0,4585,41.4,9,1999-09,2019-02,Individual,1,0,1
17887,60 months,9.67,26.95,A,A3,10,RENT,29905.17,Not Verified,medical,MD,10.28,1,1,9,0,13793,49.1,24,2001-11,2019-11,Individual,2,0,0
34485,36 months,16.18,210.07,B,B1,3,RENT,70089.46,Verified,small_business,NC,20.62,0,2,5,0,51740,78.0,23,1996-01,2018-06,Individual,1,0,1
4351,60 months,9.34,9.86,C,C2,2,OTHER,51882.36,Source Verified,home_improvement,PA,25.89,1,2,15,0,36606,52.0,16,1998-07,2018-08,Individual,1,0,1
28197,36 months,13.44,125.75,A,A3,6,RENT,162095.31,Not Verified,major_purchase,NC,11.85,0,1,29,0,70060,47.2,30,2002-03,2015-02,Individual,3,0,0
8857,36 months,11.36,31.83,E,E5,2,MORTGAGE,61954.21,Source Verified,debt_consolidation,VA,7.35,0,1,1,0,63028,63.5,17,1991-12,2015-02,Individual,4,1,1
4672,60 months,6.65,6.66,B,B3,1,MORTGAGE,32243.26,Verified,debt_consolidation,NY,13.78,0,0,13,0,57941,43.0,31,2004-02,2018-02,Individual,1,0,0
21532,36 months,14.0,100.15,D,D4,8,RENT,76253.74,Not Verified,credit_card,WI,8.91,0,1,12,0,77711,24.9,12,2002-02,2018-05,Individual,1,0,0
39049,36 months,17.54,187.13,C,C4,1,MORTGAGE,77809.06,Verified,major_purchase,MI,18.78,0,3,21,0,33396,51.2,33,2006-08,2017-09,Individual,2,0,1
29694,36 months,16.69,147.23,F,F2,9,MORTGAGE,38630.35,Not Verified,moving,WI,8.44,0,0,22,0,52485,45.4,30,2010-04,2018-12,Individual,4,0,0
30684,60 months,12.25,71.46,A,A5,2,MORTGAGE,24382.05,Verified,credit_card,WI,22.81,0,1,27,0,9291,37.6,42,1996-11,2016-08,Individual,1,0,0
28981,60 months,13.61,82.15,A,A4,1,MORTGAGE,67617.43,Not Verified,medical,TX,17.49,0,0,8,0,7767,52.9,18,1996-04,2019-06,Individual,3,0,0
